Factura electrónica;;;;;;;;;;;;;;;;;;;;;;;;
Generado a las 08:21hs del 1/28/2026;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ptovta;factura;cae;fechafc;caja;cajanom;fecha;cliente;bimp;iva;importe;efectivo;merpag;tarjetas;otros;noche;hora;ticket;orden;ndoc;tdoc;id;estado;tipo;tcom
19;1726;86041240238589;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;01:46;4522;4517;0;99;RHpyUmVzcW1KOUlKUzRJc0JhOXlkUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1727;86041240268423;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:48;4523;4518;0;99;MU5lZ1UzY3BYRkVuNzJoYm1ZbFNoLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:49;4524;4519;0;99;Mmx2Znp3cnJWd2QxTkVJK3l5Q2JtZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1728;86041240298252;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:50;4525;4520;0;99;MEJtbmJVZlgxbFNsSTl2eUFWUGtnZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:50;4526;4521;0;99;NGpKSklZWC9nNk5XSjJYVlJpUkpFdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1729;86041240321170;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:51;4527;4522;0;99;dnd0Z0M5Sm1hWXArck5Ia0JiSTBrdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:52;4528;4523;0;99;ZVBqMTRDK3J4bEJSdDVTYW4vVEhMdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1730;86041240356899;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:52;4529;4524;0;99;UTJONTJaSkhmaGVxaXRoWE4rQnlKUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1731;86041240370991;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:53;4530;4525;0;99;aGpKS3BuSWpmbi90Qmk1YXVwZ2FyZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1732;86041240381987;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:54;4531;4526;0;99;c25VTVlFUGVIQkJ3emVQNU5WWUJPUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
