FACTURACION-ELECTRONICA - Total
Factura electrónica - Todas;;;;;;;;;;;;;;;;;;;;;;;;
19;48;75207484881336;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;03:56;130;130;0;99;QncxTEorT3d3KytkcDluNmR4QXNJUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;52;75207484901193;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;03:58;134;134;0;99;c1kvZW9ZejFRYk92T0xKZGp5bkZOQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;53;75207484903640;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;03:58;135;135;0;99;VTNxMEQ1ditMTlBtdFkyT05pOUVzQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;54;75207484915815;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;04:00;136;136;0;99;MjVOWE5BOHRndUw2UFM4QldJaUEwQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;55;75207484921526;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;04:01;137;137;0;99;M0N3d0pBbnZpT3VjaUVseXpVN09mUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;62;75207484968758;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;04:06;144;144;0;99;YldjT0FDcHBMUlg3S0xxQjRZVnIxd05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;64;75207484997793;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;04:08;146;146;0;99;dm9RR1hWNzY5OVVrQ3R6UmVGUUhtUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
19;65;75207484999088;2025-05-18;1;BOLETERIA  GENERAL 1;2025-05-18;A Consumidor Final;41323,96;8678,04;50002;0;0;50002;0;SA17/05/2025;04:09;147;147;0;99;TzdudUJvaTRIMnJ1bnJQNURTTXRuZ05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Boleterias;Factura B
18;4;75207484129120;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:57;356;356;0;99;aEdzVnVMTEFLaXdUOWtiRjBUbTI0Z05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
18;5;75207484304021;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:05;374;374;0;99;bkpvVldnaWpZRFplM2FZdmQwSGVDQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
18;6;75207484338676;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:06;379;379;0;99;YWdRcE1rNEpXRDN1MUx6bURFaGFZd05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
18;7;75207484383579;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:09;386;386;0;99;dDZFU2JyUEZhTXFTci9YMjVnbkhNUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
18;8;75207484463350;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:14;404;404;0;99;RThxVElPYkoreUg1SzNleWhKRFByd05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
18;10;75207484581479;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:22;431;431;0;99;ZDJrYjR1eDRVNHUwTFNLVFN4UjVkZ05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
18;15;75207484739528;2025-05-18;10;CAJA 5;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:39;474;474;0;99;ZGJwbTdlczNyM3NSYkFLN2ZwbGFqd05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
17;1;75207483537877;2025-05-18;9;CAJA 4;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:22;281;281;0;99;WDk1SE5Uemp6YmxDQkJQL0l3MnlGUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
17;3;75207484170825;2025-05-18;9;CAJA 4;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:00;362;362;0;99;aTgzWElMM0RUSXBxVUVKOFd1SkV5QU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
17;4;75207484569882;2025-05-18;9;CAJA 4;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:21;426;426;0;99;Z3ZFNytoWW5mN3lhNlI5ODNveEJuUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
17;7;75207484865716;2025-05-18;9;CAJA 4;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:55;510;510;0;99;YjA3VDNUdFhrM01pK2xjV2JUNW5zd05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;9;75207483602066;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:26;290;290;0;99;N2ZnQTNGYmZZU3YvMlowSXVsWm5nQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;11;75207483707217;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:33;305;305;0;99;Z285NWlvYlVTTnJhMTEyNlFwNUVKZ05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;17;75207484147051;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:59;359;359;0;99;YTJIbEVIdlVZeGJhVjZOc0h3ZkFWQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;18;75207484251429;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:02;366;366;0;99;Rnlzc2RSeW5YWjZ4RWhmZlpyTEhKd05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;19;75207484269569;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:04;369;369;0;99;aFo0ejU0aEY3VGI4bTBwcnBhNWc3UU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;23;75207484414131;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:11;394;394;0;99;MUg3YXZrQURsRmNGRjlubVdSbmo0Z05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
16;32;75207484895150;2025-05-18;4;CAJA 3;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;03:56;513;513;0;99;Qy9JTldXcjVOZzJHMG1JS2xuRzJVUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
15;6;75207483537097;2025-05-18;3;CAJA 2;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:22;280;280;0;99;a3QvUjRFc012V3pZNTVUaDFXZDNTQU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
15;7;75207483591604;2025-05-18;3;CAJA 2;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:26;288;288;0;99;SWpOcmR5eVRiZ081djFhMFAwbjVIZ05JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
15;9;75207483703475;2025-05-18;3;CAJA 2;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:33;303;303;0;99;Uk9lL2hKbkRTU3hJM1V0SFVhdjFYUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
15;13;75207483856271;2025-05-18;3;CAJA 2;2025-05-18;A Consumidor Final;40867,77;8582,23;49450;0;0;49450;0;SA17/05/2025;02:42;321;321;0;99;WktNaUFrREw1TXJFdUE3SkVCSDBzUU5JdnBIUk1yNGRDNnROam1QUzlCRT0=;aprobado;Barras;Factura B
